,Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
33167,INN33168,2,2,2,3,Meal Plan 2,0,Room_Type 6,5,2018,3,27,Online,0,0,0,254.0,0,Canceled
12426,INN12427,3,0,0,2,Meal Plan 1,0,Room_Type 4,45,2018,6,17,Online,0,0,0,159.3,2,Not_Canceled
26950,INN26951,2,0,0,2,Not Selected,0,Room_Type 1,167,2018,7,29,Online,0,0,0,94.5,0,Canceled
4625,INN04626,1,0,0,3,Meal Plan 1,0,Room_Type 1,191,2018,6,23,Offline,0,0,0,95.0,0,Not_Canceled
21444,INN21445,2,0,1,3,Not Selected,0,Room_Type 1,240,2018,10,27,Online,0,0,0,80.75,0,Canceled
4209,INN04210,1,0,0,2,Meal Plan 1,0,Room_Type 1,188,2018,6,15,Online,0,0,0,130.0,0,Canceled
35902,INN35903,2,0,2,3,Meal Plan 1,0,Room_Type 1,9,2018,11,13,Online,0,0,0,65.29,1,Not_Canceled
26731,INN26732,1,0,1,2,Meal Plan 1,0,Room_Type 1,219,2017,9,4,Offline,0,0,0,76.67,0,Not_Canceled
29833,INN29834,1,0,1,2,Meal Plan 1,0,Room_Type 1,19,2018,5,2,Online,0,0,0,120.0,0,Not_Canceled
29430,INN29431,2,0,0,2,Meal Plan 1,0,Room_Type 2,10,2018,5,18,Online,0,0,0,119.5,0,Canceled
24664,INN24665,3,0,1,5,Meal Plan 1,0,Room_Type 4,151,2018,7,5,Online,0,0,0,137.13,1,Canceled
4145,INN04146,2,0,1,3,Meal Plan 1,0,Room_Type 1,185,2018,10,10,Online,0,0,0,113.4,2,Canceled
16670,INN16671,2,0,2,2,Meal Plan 1,0,Room_Type 4,69,2018,4,17,Online,0,0,0,110.08,0,Not_Canceled
3261,INN03262,2,0,2,4,Meal Plan 1,0,Room_Type 4,93,2018,5,19,Online,0,0,0,132.6,1,Not_Canceled
20693,INN20694,2,0,0,2,Meal Plan 1,0,Room_Type 2,71,2018,3,17,Online,0,0,0,69.05,0,Not_Canceled
3005,INN03006,2,0,1,1,Meal Plan 2,0,Room_Type 4,59,2018,6,4,Online,0,0,0,153.09,1,Canceled
34439,INN34440,2,0,2,1,Meal Plan 1,0,Room_Type 1,83,2018,12,18,Offline,0,0,0,75.0,0,Not_Canceled
11099,INN11100,2,0,1,2,Meal Plan 1,0,Room_Type 1,73,2017,11,27,Online,0,0,0,79.2,2,Not_Canceled
32377,INN32378,2,0,0,1,Meal Plan 1,0,Room_Type 1,12,2018,11,26,Offline,1,0,4,75.0,1,Not_Canceled
3036,INN03037,2,0,1,4,Meal Plan 1,0,Room_Type 2,16,2018,1,25,Online,0,0,0,77.25,0,Not_Canceled
5308,INN05309,2,0,1,3,Meal Plan 1,0,Room_Type 4,64,2018,4,18,Online,0,0,0,110.08,0,Canceled
3592,INN03593,2,0,0,1,Not Selected,0,Room_Type 1,207,2018,10,4,Online,0,0,0,98.1,0,Canceled
11403,INN11404,1,0,2,1,Meal Plan 1,0,Room_Type 1,4,2018,4,10,Corporate,1,3,28,65.0,0,Not_Canceled
29178,INN29179,2,0,2,4,Meal Plan 2,0,Room_Type 1,158,2018,8,14,Online,0,0,0,138.83,0,Canceled
18876,INN18877,3,0,0,2,Meal Plan 1,0,Room_Type 4,34,2018,3,25,Online,0,0,0,159.3,0,Canceled
31102,INN31103,2,0,0,4,Not Selected,0,Room_Type 1,50,2018,11,15,Online,0,0,0,74.8,1,Not_Canceled
32462,INN32463,2,0,1,3,Not Selected,0,Room_Type 1,67,2018,4,11,Online,0,0,0,89.25,0,Canceled
8027,INN08028,2,0,0,4,Not Selected,0,Room_Type 1,90,2018,4,13,Online,0,0,0,80.75,0,Canceled
8033,INN08034,2,0,1,1,Meal Plan 1,0,Room_Type 1,33,2018,5,21,Online,0,0,0,117.9,1,Not_Canceled
16905,INN16906,2,0,1,2,Meal Plan 1,0,Room_Type 1,8,2018,12,19,Online,0,0,0,96.0,1,Not_Canceled
33794,INN33795,2,0,1,2,Meal Plan 1,0,Room_Type 1,127,2018,6,27,Online,0,0,0,96.3,1,Not_Canceled
2781,INN02782,2,0,0,1,Meal Plan 1,1,Room_Type 4,6,2018,8,19,Online,0,0,0,154.0,1,Not_Canceled
20450,INN20451,2,0,0,3,Not Selected,0,Room_Type 1,41,2018,12,1,Online,0,0,0,66.88,0,Not_Canceled
17656,INN17657,2,0,1,3,Meal Plan 1,0,Room_Type 4,116,2018,4,28,Online,0,0,0,101.58,1,Canceled
778,INN00779,2,0,0,3,Meal Plan 1,0,Room_Type 1,93,2018,4,12,Online,0,0,0,96.3,3,Not_Canceled
34718,INN34719,3,0,0,1,Meal Plan 1,0,Room_Type 1,10,2017,9,24,Online,0,0,0,161.0,2,Not_Canceled
28571,INN28572,2,0,0,4,Meal Plan 1,0,Room_Type 1,8,2017,8,26,Online,0,0,0,90.0,2,Not_Canceled
31649,INN31650,2,0,2,1,Meal Plan 1,0,Room_Type 1,116,2018,5,14,Online,0,0,0,112.5,0,Not_Canceled
29537,INN29538,2,0,0,2,Meal Plan 2,0,Room_Type 1,256,2018,6,15,Offline,0,0,0,115.0,1,Canceled
31406,INN31407,2,0,0,4,Meal Plan 1,0,Room_Type 1,9,2018,1,12,Online,0,0,0,89.0,1,Not_Canceled
9609,INN09610,2,0,0,3,Meal Plan 1,0,Room_Type 1,259,2018,5,5,Offline,0,0,0,90.0,0,Canceled
10024,INN10025,2,0,0,5,Meal Plan 1,0,Room_Type 1,140,2017,12,29,Offline,0,0,0,70.0,0,Not_Canceled
30864,INN30865,2,0,2,1,Meal Plan 1,0,Room_Type 1,61,2018,9,18,Online,0,0,0,135.9,0,Canceled
1839,INN01840,2,0,2,1,Meal Plan 1,0,Room_Type 2,54,2018,10,29,Offline,0,0,0,95.0,1,Not_Canceled
14642,INN14643,2,0,2,3,Meal Plan 1,0,Room_Type 1,29,2018,3,10,Online,0,0,0,100.28,1,Not_Canceled
33995,INN33996,2,0,0,3,Meal Plan 1,0,Room_Type 1,162,2018,7,14,Offline,0,0,0,112.0,1,Canceled
10830,INN10831,2,1,1,0,Meal Plan 1,0,Room_Type 1,11,2018,4,18,Online,0,0,0,119.0,1,Not_Canceled
27445,INN27446,1,0,0,1,Not Selected,0,Room_Type 1,0,2018,5,12,Online,0,0,0,85.93,0,Not_Canceled
34121,INN34122,2,0,2,5,Meal Plan 1,0,Room_Type 1,170,2018,9,29,Online,0,0,0,114.04,0,Canceled
20431,INN20432,2,0,0,2,Meal Plan 1,0,Room_Type 1,30,2018,6,2,Offline,0,0,0,140.0,0,Not_Canceled
4935,INN04936,2,0,1,0,Not Selected,0,Room_Type 1,20,2018,6,26,Online,0,0,0,89.0,1,Not_Canceled
18524,INN18525,2,0,0,3,Meal Plan 1,0,Room_Type 4,130,2018,9,29,Online,0,0,0,139.5,2,Not_Canceled
35662,INN35663,1,0,0,1,Meal Plan 1,0,Room_Type 1,114,2018,10,27,Online,0,0,0,125.1,1,Not_Canceled
32920,INN32921,2,0,0,3,Meal Plan 1,0,Room_Type 1,94,2018,7,14,Online,0,0,0,105.3,0,Canceled
8888,INN08889,1,0,0,2,Meal Plan 1,0,Room_Type 1,228,2018,8,10,Online,0,0,0,90.9,1,Canceled
34534,INN34535,2,0,2,3,Not Selected,0,Room_Type 1,55,2018,12,24,Online,0,0,0,80.24,2,Not_Canceled
31739,INN31740,2,0,0,2,Meal Plan 1,0,Room_Type 4,3,2018,4,15,Online,0,0,0,146.0,0,Canceled
22759,INN22760,2,0,1,4,Meal Plan 1,0,Room_Type 1,39,2017,9,23,Online,0,0,0,175.08,1,Not_Canceled
5932,INN05933,2,0,2,4,Meal Plan 1,0,Room_Type 1,139,2018,11,16,Online,0,0,0,68.0,0,Canceled
15015,INN15016,1,0,0,3,Meal Plan 1,0,Room_Type 1,113,2018,5,31,Corporate,0,0,0,100.0,0,Canceled
18505,INN18506,1,0,1,0,Meal Plan 1,0,Room_Type 5,0,2018,10,3,Online,0,0,0,156.0,0,Not_Canceled
31002,INN31003,2,0,0,1,Not Selected,0,Room_Type 1,0,2018,12,28,Online,0,0,0,88.0,2,Not_Canceled
34883,INN34884,2,0,2,6,Meal Plan 1,0,Room_Type 1,243,2018,9,27,Offline,0,0,0,80.75,0,Not_Canceled
19505,INN19506,2,0,2,1,Meal Plan 1,0,Room_Type 1,87,2018,8,14,Online,0,0,0,117.9,1,Canceled
23726,INN23727,3,0,2,3,Meal Plan 1,0,Room_Type 4,6,2018,1,30,Online,0,0,0,130.0,2,Not_Canceled
29879,INN29880,1,0,0,1,Meal Plan 1,0,Room_Type 4,10,2018,9,30,Aviation,0,0,0,110.0,0,Canceled
29310,INN29311,2,0,1,1,Not Selected,0,Room_Type 1,220,2018,8,15,Online,0,0,0,90.0,1,Not_Canceled
31412,INN31413,2,0,1,2,Not Selected,0,Room_Type 1,77,2018,4,15,Online,0,0,0,68.04,1,Not_Canceled
13303,INN13304,2,0,0,3,Meal Plan 1,0,Room_Type 1,109,2018,11,17,Online,0,0,0,90.0,1,Not_Canceled
23159,INN23160,2,0,1,1,Not Selected,0,Room_Type 1,24,2018,9,26,Online,0,0,0,107.1,0,Canceled
31983,INN31984,2,0,0,4,Not Selected,0,Room_Type 1,203,2018,8,3,Online,0,0,0,58.14,0,Canceled
26122,INN26123,2,0,0,2,Meal Plan 2,0,Room_Type 1,86,2017,9,24,Offline,0,0,0,120.0,0,Not_Canceled
34219,INN34220,3,0,0,4,Meal Plan 1,0,Room_Type 4,19,2017,9,30,Online,0,0,0,91.47,2,Not_Canceled
16680,INN16681,2,0,0,4,Meal Plan 1,0,Room_Type 4,238,2018,9,20,Offline,0,0,0,107.0,1,Canceled
18880,INN18881,2,1,0,2,Meal Plan 1,0,Room_Type 1,157,2018,7,14,Online,0,0,0,121.5,1,Canceled
30564,INN30565,2,0,1,1,Meal Plan 1,0,Room_Type 4,63,2018,4,2,Online,0,0,0,107.1,0,Not_Canceled
12555,INN12556,2,0,1,2,Meal Plan 2,0,Room_Type 1,200,2018,9,19,Online,0,0,0,161.1,2,Canceled
11020,INN11021,1,0,2,4,Meal Plan 1,0,Room_Type 1,69,2018,6,12,Offline,0,0,0,120.0,0,Canceled
24706,INN24707,2,0,1,3,Meal Plan 1,0,Room_Type 1,85,2018,10,6,Offline,0,0,0,85.0,1,Not_Canceled
3300,INN03301,2,1,0,2,Meal Plan 1,0,Room_Type 1,97,2018,7,12,Online,0,0,0,121.5,1,Not_Canceled
30614,INN30615,1,0,0,3,Meal Plan 1,0,Room_Type 1,308,2018,11,23,Online,0,0,0,78.3,2,Canceled
32523,INN32524,2,0,1,2,Not Selected,0,Room_Type 1,57,2018,4,11,Online,0,0,0,94.5,0,Canceled
35427,INN35428,2,0,0,2,Meal Plan 1,0,Room_Type 1,301,2018,11,18,Offline,0,0,0,52.0,0,Canceled
5818,INN05819,2,0,0,2,Meal Plan 1,0,Room_Type 1,80,2018,4,8,Online,0,0,0,96.3,1,Not_Canceled
7508,INN07509,3,0,0,3,Meal Plan 1,0,Room_Type 1,133,2018,7,12,Online,0,0,0,137.7,2,Not_Canceled
5694,INN05695,3,0,1,5,Meal Plan 1,1,Room_Type 4,38,2018,8,15,Online,0,0,0,177.3,2,Not_Canceled
4592,INN04593,2,0,0,2,Meal Plan 1,0,Room_Type 1,181,2018,10,28,Online,0,0,0,90.9,2,Canceled
31646,INN31647,3,0,0,2,Meal Plan 2,0,Room_Type 5,24,2018,10,6,Online,0,0,0,229.6,0,Canceled
16081,INN16082,2,0,1,1,Meal Plan 1,1,Room_Type 4,66,2018,3,19,Online,0,0,0,114.3,1,Not_Canceled
35063,INN35064,2,0,0,3,Meal Plan 1,0,Room_Type 4,99,2017,12,30,Offline,0,0,0,60.67,0,Not_Canceled
657,INN00658,4,0,0,2,Meal Plan 1,0,Room_Type 7,32,2018,8,17,Online,0,0,0,214.75,1,Not_Canceled
9688,INN09689,2,1,0,1,Meal Plan 1,0,Room_Type 1,84,2017,7,25,Online,0,0,0,94.0,2,Not_Canceled
8250,INN08251,1,0,0,1,Meal Plan 1,0,Room_Type 1,1,2017,12,15,Corporate,1,0,2,75.0,0,Not_Canceled
33856,INN33857,2,0,1,2,Meal Plan 1,0,Room_Type 1,305,2018,11,4,Offline,0,0,0,89.0,0,Canceled
31860,INN31861,1,0,2,1,Meal Plan 1,0,Room_Type 1,11,2017,12,13,Online,0,0,0,62.37,1,Not_Canceled
4649,INN04650,3,0,2,1,Meal Plan 1,0,Room_Type 4,79,2018,5,14,Online,0,0,0,159.3,0,Canceled
7485,INN07486,3,0,0,2,Meal Plan 1,0,Room_Type 4,140,2018,8,12,Online,0,0,0,146.7,0,Canceled
19247,INN19248,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,3,16,Online,0,0,0,109.0,0,Not_Canceled
6534,INN06535,2,0,2,2,Meal Plan 1,0,Room_Type 1,155,2018,11,25,Online,0,0,0,85.0,1,Canceled
4875,INN04876,1,0,0,1,Meal Plan 1,0,Room_Type 1,2,2018,10,27,Corporate,0,0,0,75.0,0,Not_Canceled
8071,INN08072,1,0,1,2,Meal Plan 1,0,Room_Type 1,159,2018,9,19,Offline,0,0,0,122.0,0,Canceled
20219,INN20220,2,0,0,2,Meal Plan 1,0,Room_Type 1,30,2018,6,2,Offline,0,0,0,140.0,0,Not_Canceled
33894,INN33895,2,0,2,2,Meal Plan 1,0,Room_Type 1,14,2018,4,29,Online,0,0,0,147.5,0,Canceled
24650,INN24651,2,0,0,3,Meal Plan 1,0,Room_Type 4,11,2018,6,14,Corporate,0,0,0,90.0,0,Canceled
27074,INN27075,2,0,2,2,Meal Plan 1,0,Room_Type 1,91,2018,10,30,Online,0,0,0,90.45,1,Not_Canceled
9352,INN09353,3,0,1,2,Meal Plan 1,0,Room_Type 1,102,2018,6,10,Online,0,0,0,159.3,0,Not_Canceled
20836,INN20837,2,0,2,0,Meal Plan 1,0,Room_Type 1,180,2018,8,28,Online,0,0,0,96.3,0,Canceled
34725,INN34726,3,0,2,3,Meal Plan 1,0,Room_Type 4,7,2018,5,29,Online,0,0,0,141.95,2,Not_Canceled
6881,INN06882,2,0,0,3,Meal Plan 1,0,Room_Type 1,9,2018,6,21,Online,0,0,0,133.33,2,Not_Canceled
9022,INN09023,2,0,1,3,Meal Plan 1,0,Room_Type 1,78,2018,3,24,Online,0,0,0,70.03,1,Not_Canceled
29697,INN29698,2,0,1,3,Not Selected,0,Room_Type 1,10,2018,11,17,Online,0,0,0,78.63,0,Not_Canceled
14729,INN14730,2,0,2,2,Not Selected,0,Room_Type 1,46,2018,3,13,Online,0,0,0,67.15,0,Canceled
28702,INN28703,2,0,0,1,Meal Plan 1,0,Room_Type 5,13,2018,7,21,Corporate,0,0,0,158.95,1,Not_Canceled
13412,INN13413,2,0,2,2,Meal Plan 2,0,Room_Type 1,47,2018,8,14,Online,0,0,0,170.1,1,Not_Canceled
28987,INN28988,1,0,1,0,Meal Plan 1,0,Room_Type 1,0,2018,5,9,Online,0,0,0,106.0,0,Not_Canceled
8183,INN08184,2,0,0,2,Meal Plan 1,0,Room_Type 1,88,2018,10,7,Corporate,0,0,0,90.0,1,Not_Canceled
17397,INN17398,1,0,1,1,Meal Plan 1,0,Room_Type 1,118,2018,6,6,Offline,0,0,0,110.0,0,Not_Canceled
8491,INN08492,2,0,0,1,Not Selected,0,Room_Type 1,25,2018,9,16,Online,0,0,0,139.0,0,Canceled
2283,INN02284,2,0,0,5,Meal Plan 1,0,Room_Type 4,128,2018,10,11,Online,0,0,0,132.3,0,Canceled
18572,INN18573,1,0,0,2,Meal Plan 1,0,Room_Type 1,151,2018,1,19,Offline,0,0,0,71.0,0,Not_Canceled
7583,INN07584,2,0,1,5,Meal Plan 1,0,Room_Type 4,113,2018,7,5,Online,0,0,0,92.94,2,Not_Canceled
16959,INN16960,2,0,2,5,Not Selected,0,Room_Type 1,173,2018,7,8,Online,0,0,0,80.75,0,Canceled
5847,INN05848,1,0,1,3,Meal Plan 1,0,Room_Type 1,152,2018,7,11,Online,0,0,0,101.58,0,Canceled
23783,INN23784,2,0,1,1,Meal Plan 1,0,Room_Type 4,16,2018,7,30,Online,0,0,0,166.0,1,Not_Canceled
28049,INN28050,1,0,0,1,Meal Plan 1,0,Room_Type 1,1,2018,3,2,Corporate,1,0,11,65.0,1,Not_Canceled
21888,INN21889,3,0,0,2,Meal Plan 1,0,Room_Type 1,69,2018,5,18,Online,0,0,0,161.9,1,Not_Canceled
26148,INN26149,1,0,0,1,Meal Plan 1,0,Room_Type 4,6,2018,8,3,Corporate,0,0,0,90.0,1,Not_Canceled
35062,INN35063,1,0,1,2,Meal Plan 1,0,Room_Type 1,9,2017,9,7,Online,0,0,0,78.03,1,Not_Canceled
11434,INN11435,1,0,0,1,Meal Plan 1,0,Room_Type 1,1,2018,4,5,Corporate,1,0,19,65.0,1,Not_Canceled
15804,INN15805,2,0,2,0,Meal Plan 1,0,Room_Type 4,30,2018,9,4,Online,0,0,0,110.97,0,Canceled
24808,INN24809,1,0,1,1,Meal Plan 1,0,Room_Type 4,3,2017,9,19,Online,0,0,0,177.5,1,Not_Canceled
792,INN00793,2,0,0,2,Meal Plan 1,0,Room_Type 1,1,2017,9,30,Offline,1,1,0,102.6,0,Not_Canceled
23587,INN23588,3,0,0,1,Meal Plan 1,0,Room_Type 1,55,2018,3,31,Offline,0,0,0,127.82,1,Not_Canceled
26910,INN26911,3,0,0,3,Meal Plan 1,0,Room_Type 4,156,2018,10,6,Online,0,0,0,151.2,0,Canceled
5681,INN05682,2,0,0,2,Meal Plan 1,0,Room_Type 1,107,2018,6,10,Offline,0,0,0,130.0,1,Not_Canceled
12024,INN12025,1,0,0,2,Meal Plan 1,0,Room_Type 1,46,2018,11,18,Online,0,0,0,89.2,1,Not_Canceled
20550,INN20551,2,0,2,7,Meal Plan 1,0,Room_Type 4,8,2018,3,22,Online,0,0,0,158.22,0,Canceled
10537,INN10538,2,0,1,3,Meal Plan 1,0,Room_Type 1,12,2018,8,15,Online,0,0,0,141.0,2,Not_Canceled
13886,INN13887,3,0,1,1,Meal Plan 1,0,Room_Type 4,75,2018,10,8,Online,0,0,0,151.2,1,Not_Canceled
814,INN00815,1,0,0,2,Meal Plan 1,0,Room_Type 1,5,2017,9,9,Corporate,0,0,0,65.0,0,Not_Canceled
33534,INN33535,2,0,2,4,Meal Plan 2,0,Room_Type 4,100,2018,5,15,Online,0,0,0,164.9,1,Not_Canceled
13018,INN13019,2,0,2,2,Meal Plan 1,0,Room_Type 4,10,2018,9,3,Online,0,0,0,156.5,0,Canceled
26233,INN26234,1,0,0,1,Meal Plan 1,1,Room_Type 1,52,2018,10,13,Corporate,0,0,0,67.0,0,Not_Canceled
3811,INN03812,2,0,1,4,Meal Plan 1,0,Room_Type 1,1,2017,8,26,Online,0,0,0,110.8,1,Not_Canceled
30891,INN30892,2,0,1,2,Not Selected,0,Room_Type 1,56,2018,5,13,Online,0,0,0,116.1,1,Not_Canceled
17539,INN17540,2,0,0,2,Meal Plan 2,0,Room_Type 1,320,2018,8,18,Offline,0,0,0,115.0,1,Canceled
9318,INN09319,2,0,0,3,Not Selected,0,Room_Type 1,67,2018,3,10,Online,0,0,0,67.5,1,Not_Canceled
12647,INN12648,2,0,0,3,Meal Plan 2,0,Room_Type 4,1,2018,3,15,Offline,0,0,0,111.0,0,Not_Canceled
26139,INN26140,2,0,2,2,Not Selected,0,Room_Type 1,33,2018,11,11,Online,0,0,0,84.15,1,Canceled
32919,INN32920,2,0,0,2,Meal Plan 2,0,Room_Type 1,377,2018,10,14,Offline,0,0,0,115.0,1,Canceled
31044,INN31045,2,0,1,1,Meal Plan 1,0,Room_Type 1,17,2018,2,22,Offline,0,0,0,87.0,1,Not_Canceled
26713,INN26714,1,0,0,0,Meal Plan 1,0,Room_Type 1,176,2018,9,8,Online,0,0,0,0.0,0,Not_Canceled
4184,INN04185,1,0,2,1,Meal Plan 1,0,Room_Type 1,12,2018,1,24,Corporate,0,0,0,66.0,1,Not_Canceled
16316,INN16317,2,0,0,3,Meal Plan 1,0,Room_Type 1,99,2018,6,21,Online,0,0,0,88.6,1,Canceled
24517,INN24518,2,0,0,1,Not Selected,0,Room_Type 1,73,2018,9,15,Corporate,0,0,0,100.0,1,Canceled
5355,INN05356,2,0,2,3,Meal Plan 1,0,Room_Type 1,170,2018,4,8,Offline,0,0,0,78.0,0,Not_Canceled
18058,INN18059,3,0,2,2,Meal Plan 1,0,Room_Type 1,71,2018,6,17,Offline,0,0,0,105.4,1,Not_Canceled
15032,INN15033,2,1,2,1,Meal Plan 1,0,Room_Type 1,159,2018,8,7,Online,0,0,0,130.5,1,Canceled
21487,INN21488,3,0,2,4,Meal Plan 1,0,Room_Type 4,111,2018,8,14,Online,0,0,0,150.3,0,Canceled
8846,INN08847,1,0,0,1,Meal Plan 2,0,Room_Type 1,1,2018,6,17,Offline,0,0,0,89.25,0,Not_Canceled
30720,INN30721,2,0,0,3,Meal Plan 1,0,Room_Type 1,65,2018,2,10,Offline,0,0,0,60.0,0,Not_Canceled
17182,INN17183,2,0,0,5,Not Selected,0,Room_Type 1,166,2018,7,5,Online,0,0,0,80.75,0,Canceled
23432,INN23433,2,0,2,4,Meal Plan 1,0,Room_Type 1,53,2018,11,13,Online,0,0,0,88.4,1,Not_Canceled
4670,INN04671,1,2,1,2,Meal Plan 1,0,Room_Type 6,28,2018,5,20,Online,0,0,0,207.63,2,Not_Canceled
21677,INN21678,2,1,0,2,Meal Plan 2,0,Room_Type 4,4,2018,3,11,Online,0,0,0,183.5,2,Not_Canceled
31468,INN31469,1,0,0,2,Meal Plan 1,0,Room_Type 1,7,2018,3,2,Offline,0,0,0,55.0,2,Not_Canceled
3512,INN03513,2,0,0,1,Meal Plan 1,0,Room_Type 4,22,2018,5,21,Online,0,0,0,165.0,1,Not_Canceled
22075,INN22076,2,0,0,1,Meal Plan 1,0,Room_Type 4,40,2018,10,5,Online,0,0,0,125.55,0,Canceled
19736,INN19737,2,0,0,2,Meal Plan 2,0,Room_Type 1,63,2017,9,4,Offline,0,0,0,116.0,0,Not_Canceled
8974,INN08975,2,0,1,2,Meal Plan 1,0,Room_Type 1,82,2018,4,11,Offline,0,0,0,80.75,0,Not_Canceled
8982,INN08983,3,0,0,2,Meal Plan 1,0,Room_Type 1,79,2018,7,19,Online,0,0,0,137.7,2,Not_Canceled
32718,INN32719,2,0,1,0,Meal Plan 1,0,Room_Type 1,141,2017,9,20,Offline,0,0,0,90.0,0,Not_Canceled
33598,INN33599,2,0,0,2,Not Selected,0,Room_Type 1,2,2017,9,23,Online,0,0,0,133.0,0,Not_Canceled
17544,INN17545,2,0,1,0,Meal Plan 1,0,Room_Type 1,0,2017,9,13,Online,0,0,0,114.0,0,Not_Canceled
21047,INN21048,2,1,2,1,Meal Plan 1,0,Room_Type 1,82,2018,8,7,Online,0,0,0,134.1,1,Canceled
30601,INN30602,2,0,2,3,Meal Plan 1,0,Room_Type 4,44,2018,4,10,Online,0,0,0,113.52,0,Canceled
13079,INN13080,1,0,1,0,Meal Plan 1,0,Room_Type 1,7,2018,7,11,Online,0,0,0,154.0,1,Not_Canceled
335,INN00336,2,0,2,1,Meal Plan 1,0,Room_Type 1,282,2017,10,10,Offline,0,0,0,76.67,0,Not_Canceled
35361,INN35362,2,1,1,0,Meal Plan 1,0,Room_Type 1,8,2018,8,8,Online,0,0,0,171.0,1,Not_Canceled
34773,INN34774,2,0,0,1,Meal Plan 1,1,Room_Type 1,9,2018,9,8,Online,0,0,0,168.0,3,Not_Canceled
23525,INN23526,2,0,1,0,Not Selected,0,Room_Type 1,102,2018,10,9,Online,0,0,0,108.0,1,Canceled
16613,INN16614,2,0,0,3,Meal Plan 1,0,Room_Type 1,148,2018,9,14,Offline,0,0,0,130.0,0,Canceled
21808,INN21809,1,0,0,2,Meal Plan 1,0,Room_Type 1,41,2018,10,26,Online,0,0,0,123.5,0,Not_Canceled
35550,INN35551,3,0,0,4,Meal Plan 1,0,Room_Type 4,174,2018,10,4,Online,0,0,0,141.3,0,Canceled
11656,INN11657,2,0,1,2,Meal Plan 1,1,Room_Type 1,11,2017,12,11,Online,0,0,0,96.0,2,Not_Canceled
3739,INN03740,2,0,2,0,Meal Plan 1,0,Room_Type 1,10,2017,12,27,Offline,0,0,0,52.0,1,Not_Canceled
3118,INN03119,2,2,1,0,Meal Plan 1,0,Room_Type 6,10,2017,8,23,Online,0,0,0,153.0,0,Not_Canceled
18442,INN18443,2,0,2,3,Meal Plan 1,0,Room_Type 1,90,2017,8,23,Online,0,0,0,76.5,0,Not_Canceled
4963,INN04964,2,0,2,4,Not Selected,0,Room_Type 1,34,2017,9,13,Online,0,0,0,94.95,1,Not_Canceled
16824,INN16825,2,0,0,2,Meal Plan 1,0,Room_Type 1,141,2018,9,23,Online,0,0,0,128.8,1,Not_Canceled
6275,INN06276,2,0,0,4,Meal Plan 2,0,Room_Type 1,296,2018,9,21,Online,0,0,0,117.0,1,Canceled
3430,INN03431,2,0,3,5,Meal Plan 1,0,Room_Type 4,109,2018,7,11,Online,0,0,0,113.26,1,Not_Canceled
8194,INN08195,2,0,0,1,Meal Plan 1,0,Room_Type 1,46,2018,9,7,Online,0,0,0,98.1,1,Not_Canceled
13421,INN13422,2,0,2,1,Not Selected,0,Room_Type 1,89,2018,4,9,Online,0,0,0,79.5,0,Not_Canceled
24689,INN24690,2,0,0,3,Meal Plan 1,0,Room_Type 1,86,2017,9,9,Corporate,0,0,0,100.0,0,Not_Canceled
23620,INN23621,2,0,2,3,Meal Plan 1,0,Room_Type 4,41,2017,11,8,Offline,0,0,0,60.0,1,Not_Canceled
16009,INN16010,2,0,0,2,Meal Plan 1,0,Room_Type 1,177,2018,6,3,Offline,0,0,0,100.0,0,Canceled
10496,INN10497,1,0,0,1,Meal Plan 1,0,Room_Type 1,7,2018,9,20,Online,0,0,0,143.0,3,Not_Canceled
11037,INN11038,3,0,2,3,Meal Plan 1,0,Room_Type 4,62,2018,4,2,Online,0,0,0,125.63,1,Canceled
24790,INN24791,1,0,0,1,Meal Plan 1,0,Room_Type 1,8,2018,2,11,Online,0,0,0,79.0,0,Not_Canceled
27538,INN27539,3,0,1,2,Meal Plan 2,0,Room_Type 4,83,2018,6,10,Online,0,0,0,210.6,2,Not_Canceled
270,INN00271,1,0,0,1,Meal Plan 1,0,Room_Type 1,16,2018,3,11,Corporate,0,0,0,75.0,0,Not_Canceled
3770,INN03771,1,0,0,1,Meal Plan 1,0,Room_Type 1,182,2018,10,12,Online,0,0,0,120.0,1,Canceled
5392,INN05393,2,0,0,1,Meal Plan 1,0,Room_Type 1,1,2018,11,1,Corporate,1,0,1,75.0,0,Not_Canceled
31118,INN31119,2,0,2,1,Meal Plan 1,0,Room_Type 1,23,2018,10,9,Offline,0,0,0,85.0,0,Not_Canceled
21161,INN21162,1,0,0,2,Meal Plan 1,0,Room_Type 1,102,2018,12,6,Online,0,0,0,86.4,2,Canceled
9947,INN09948,2,0,1,2,Meal Plan 1,0,Room_Type 1,305,2018,11,4,Offline,0,0,0,89.0,0,Canceled
11190,INN11191,1,0,0,3,Meal Plan 1,0,Room_Type 1,28,2018,9,27,Online,0,0,0,115.23,2,Not_Canceled
4120,INN04121,2,0,0,1,Meal Plan 1,0,Room_Type 1,1,2018,6,11,Online,0,0,0,121.0,0,Not_Canceled
28637,INN28638,2,0,2,3,Not Selected,0,Room_Type 1,56,2018,3,5,Online,0,0,0,65.75,0,Not_Canceled
